"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R5_U_Drive_Y3","R 0603","82.531mm","-29.079mm","82.531mm","-29.079mm","83.458mm","-29.079mm","T","180","10k"
"R5_U_Drive_Y2","R 0603","75.189mm","-47.113mm","75.189mm","-47.113mm","76.116mm","-47.113mm","T","180","10k"
"R5_U_Drive_Y1","R 0603","71.285mm","-29.09mm","71.285mm","-29.09mm","72.212mm","-29.09mm","T","180","10k"
"R4_U_Drive_X10","R 0603","61.595mm","-45.593mm","61.595mm","-45.593mm","61.595mm","-46.52mm","T","90","10K"
"R4_U_Drive_X9","R 0603","57.658mm","-27.559mm","57.658mm","-27.559mm","57.658mm","-28.486mm","T","90","10K"
"R4_U_Drive_X8","R 0603","50.292mm","-45.593mm","50.292mm","-45.593mm","50.292mm","-46.52mm","T","90","10K"
"R4_U_Drive_X7","R 0603","46.315mm","-27.57mm","46.315mm","-27.57mm","46.315mm","-28.497mm","T","90","10K"
"R4_U_Drive_X6","R 0603","38.979mm","-45.593mm","38.979mm","-45.593mm","38.979mm","-46.52mm","T","90","10K"
"R4_U_Drive_X5","R 0603","35.012mm","-27.559mm","35.012mm","-27.559mm","35.012mm","-28.486mm","T","90","10K"
"R4_U_Drive_X4","R 0603","27.716mm","-45.593mm","27.716mm","-45.593mm","27.716mm","-46.52mm","T","90","10K"
"R4_U_Drive_X3","R 0603","23.749mm","-27.559mm","23.749mm","-27.559mm","23.749mm","-28.486mm","T","90","10K"
"R4_U_Drive_X2","R 0603","16.383mm","-45.593mm","16.383mm","-45.593mm","16.383mm","-46.52mm","T","90","10K"
"R4_U_Drive_X1","R 0603","12.446mm","-27.559mm","12.446mm","-27.559mm","12.446mm","-28.486mm","T","90","10K"
"R3_U_Drive_X10","R 0603","63.246mm","-45.593mm","63.246mm","-45.593mm","63.246mm","-46.52mm","T","90","1K"
"R3_U_Drive_X9","R 0603","59.309mm","-27.559mm","59.309mm","-27.559mm","59.309mm","-28.486mm","T","90","1K"
"R3_U_Drive_X8","R 0603","51.943mm","-45.593mm","51.943mm","-45.593mm","51.943mm","-46.52mm","T","90","1K"
"R3_U_Drive_X7","R 0603","47.966mm","-27.57mm","47.966mm","-27.57mm","47.966mm","-28.497mm","T","90","1K"
"R3_U_Drive_X6","R 0603","40.63mm","-45.593mm","40.63mm","-45.593mm","40.63mm","-46.52mm","T","90","1K"
"R3_U_Drive_X5","R 0603","36.663mm","-27.559mm","36.663mm","-27.559mm","36.663mm","-28.486mm","T","90","1K"
"R3_U_Drive_X4","R 0603","29.367mm","-45.593mm","29.367mm","-45.593mm","29.367mm","-46.52mm","T","90","1K"
"R3_U_Drive_X3","R 0603","25.4mm","-27.559mm","25.4mm","-27.559mm","25.4mm","-28.486mm","T","90","1K"
"R3_U_Drive_X2","R 0603","18.034mm","-45.593mm","18.034mm","-45.593mm","18.034mm","-46.52mm","T","90","1K"
"R3_U_Drive_X1","R 0603","14.097mm","-27.559mm","14.097mm","-27.559mm","14.097mm","-28.486mm","T","90","1K"
"R2_U_Drive_X10","R 0603","68.58mm","-44.577mm","68.58mm","-44.577mm","68.58mm","-43.65mm","T","270","15K"
"R2_U_Drive_X9","R 0603","64.643mm","-26.543mm","64.643mm","-26.543mm","64.643mm","-25.616mm","T","270","15K"
"R2_U_Drive_X8","R 0603","57.277mm","-44.577mm","57.277mm","-44.577mm","57.277mm","-43.65mm","T","270","15K"
"R2_U_Drive_X7","R 0603","53.3mm","-26.554mm","53.3mm","-26.554mm","53.3mm","-25.627mm","T","270","15K"
"R2_U_Drive_X6","R 0603","45.964mm","-44.577mm","45.964mm","-44.577mm","45.964mm","-43.65mm","T","270","15K"
"R2_U_Drive_X5","R 0603","41.997mm","-26.543mm","41.997mm","-26.543mm","41.997mm","-25.616mm","T","270","15K"
"R2_U_Drive_X4","R 0603","34.701mm","-44.577mm","34.701mm","-44.577mm","34.701mm","-43.65mm","T","270","15K"
"R2_U_Drive_X3","R 0603","30.734mm","-26.543mm","30.734mm","-26.543mm","30.734mm","-25.616mm","T","270","15K"
"R2_U_Drive_X2","R 0603","23.368mm","-44.577mm","23.368mm","-44.577mm","23.368mm","-43.65mm","T","270","15K"
"R2_U_Drive_X1","R 0603","19.431mm","-26.543mm","19.431mm","-26.543mm","19.431mm","-25.616mm","T","270","15K"
"R1_U_Drive_X10","R 0603","68.58mm","-40.513mm","68.58mm","-40.513mm","68.58mm","-39.586mm","T","270","10K"
"R1_U_Drive_X9","R 0603","64.643mm","-22.479mm","64.643mm","-22.479mm","64.643mm","-21.552mm","T","270","10K"
"R1_U_Drive_X8","R 0603","57.277mm","-40.513mm","57.277mm","-40.513mm","57.277mm","-39.586mm","T","270","10K"
"R1_U_Drive_X7","R 0603","53.3mm","-22.49mm","53.3mm","-22.49mm","53.3mm","-21.563mm","T","270","10K"
"R1_U_Drive_X6","R 0603","45.964mm","-40.513mm","45.964mm","-40.513mm","45.964mm","-39.586mm","T","270","10K"
"R1_U_Drive_X5","R 0603","41.997mm","-22.479mm","41.997mm","-22.479mm","41.997mm","-21.552mm","T","270","10K"
"R1_U_Drive_X4","R 0603","34.701mm","-40.513mm","34.701mm","-40.513mm","34.701mm","-39.586mm","T","270","10K"
"R1_U_Drive_X3","R 0603","30.734mm","-22.479mm","30.734mm","-22.479mm","30.734mm","-21.552mm","T","270","10K"
"R1_U_Drive_X2","R 0603","23.368mm","-40.513mm","23.368mm","-40.513mm","23.368mm","-39.586mm","T","270","10K"
"R1_U_Drive_X1","R 0603","19.431mm","-22.479mm","19.431mm","-22.479mm","19.431mm","-21.552mm","T","270","10K"
